date, pm25, pm10, o3, no2, so2, co
2022/12/2, 48, 45, 46, 13, 2, 2
2022/12/3, 51, 43, 49, 11, 2, 3
2022/12/4, 51, 36, 51, 9, 2, 2
2022/12/5, 45, 37, 39, 10, 2, 3
2022/12/6, 40, 42, 49, 12, 2, 2
2022/12/7, 46, 43, 42, 13, 2, 3
2022/12/8, 43, 32, 54, 9, 2, 2
2022/12/9, 32, 31, 37, 8, 2, 2
2022/12/10, 31, 34, 49, 9, 2, 2
2022/12/11, 38, 35, 59, 10, 2, 3
2022/12/12, 39, 44, 29, 15, 2, 5
2022/12/13, 31, 44, 55, 13, 10, 2
2022/12/14, 48, 44, 35, 14, 1, 2
2022/12/15, 43, 48, 71, 15, 1, 3
2022/12/16, 62, 60, 56, 15, 1, 3
2022/12/17, 92, 46, 36, 12, , 3
2022/12/18, 58, 37, 48, 8, , 2
2022/12/19, 50, 44, 32, 10, , 2
2022/12/20, 48, 38, 41, 11, , 1
2022/12/21, 35, 39, 50, 11, , 2
2022/12/22, 43, 34, 37, 9, , 1
2022/12/23, 29, 39, 38, 9, , 2
2022/12/24, 39, 41, 50, 9, 1, 2
2022/12/25, 50, 43, 45, 8, , 2
2022/12/26, 58, 46, 34, 7, , 1
2022/12/27, 53, 45, 39, 12, , 2
2022/12/28, 53, 42, 43, 10, , 2
2022/12/29, 51, 52, 54, 12, , 2
2022/12/30, 54, 53, 43, 12, , 3
2022/12/31, 65, 39, 12, 8, , 3
2023/1/1, 59, 31, 43, 6, , 2
2023/1/2, 62, 24, 39, 5, , 1
2022/7/2, 38, 29, 12, 20, 1, 7
2022/7/3, 42, 34, 2, 21, 2, 8
2022/7/4, 58, 37, 9, 26, 2, 7
2022/7/5, 48, 48, 10, 31, 2, 8
2022/7/6, 74, 47, 4, 29, 2, 8
2022/7/7, 79, 46, 6, 34, 4, 10
2022/7/8, 67, 40, 14, 26, 2, 7
2022/7/9, 54, 22, 15, 15, 1, 4
2022/7/10, 42, 8, 14, 12, 1, 4
2022/7/11, 17, 13, 12, 16, 1, 5
2022/7/12, 16, 34, 9, 24, 2, 8
2022/7/13, 39, 33, 10, 23, 2, 7
2022/7/14, 50, 14, 13, 17, 1, 6
2022/7/15, 30, 20, 13, 19, 2, 7
2022/7/16, 32, 17, 19, 16, 1, 5
2022/7/17, 25, 28, 9, 24, 2, 9
2022/7/18, 43, 41, 10, 31, 2, 10
2022/7/19, 52, 48, 9, 35, 2, 10
2022/7/20, 61, 67, 93, 38, 3, 10
2022/7/21, 89, 68, 13, 38, 3, 11
2022/7/22, 107, 66, 14, 41, 3, 11
2022/7/23, 105, 61, 22, 32, 2, 10
2022/7/24, 106, 59, 25, 24, 2, 11
2022/7/25, 114, 56, 5, 30, 1, 12
2022/7/26, 99, 49, 13, 23, 1, 10
2022/7/27, 80, 45, 90, 22, 1, 9
2022/7/28, 71, 51, 12, 25, 2, 7
2022/7/29, 84, 44, 12, 33, 2, 5
2022/7/30, 60, 60, 3, 30, 2, 8
2022/7/31, 107, 54, 21, 27, 1, 6
2022/8/1, 100, 60, 9, 32, 2, 7
2022/8/2, 107, 74, 11, 34, 1, 7
2022/8/3, 130, 62, 17, 24, 1, 6
2022/8/4, 118, 55, 18, 24, 2, 6
2022/8/5, 91, 64, 17, 31, 2, 8
2022/8/6, 109, 43, 18, 23, 2, 6
2022/8/7, 76, 13, 19, 11, 1, 4
2022/8/8, 25, 35, 15, 22, 2, 6
2022/8/9, 48, 32, 13, 31, 2, 6
2022/8/10, 34, 40, 19, 28, 2, 6
2022/8/11, 57, 51, 20, 30, 2, 7
2022/8/12, 78, 44, 16, 18, 1, 6
2022/8/13, 76, 47, 27, 21, 1, 6
2022/8/14, 82, 35, 23, 16, 1, 6
2022/8/15, 66, 9, 21, 9, 1, 4
2022/8/16, 15, 43, 2, 26, 2, 10
2022/8/17, 62, 26, 7, 23, 1, 7
2022/8/18, 52, 49, 17, 26, 2, 9
2022/8/19, 80, 43, 15, 33, 3, 8
2022/8/20, 56, 39, 29, 27, 2, 7
2022/8/21, 58, 49, 46, 23, 2, 8
2022/8/22, 85, 58, 4, 29, 2, 10
2022/8/23, 103, 75, 18, 38, 1, 11
2022/8/24, 129, 71, 12, 35, 2, 10
2022/8/25, 114, 67, 27, 37, 2, 10
2022/8/26, 110, 77, 6, 41, 2, 12
2022/8/27, 115, 64, 27, 25, 2, 9
2022/8/28, 117, 38, 39, 21, 2, 6
2022/8/29, 64, 44, 29, 28, 2, 4
2022/8/30, 50, 55, 14, 30, 1, 6
2022/8/31, 88, 44, 2, 23, 1, 4
2022/9/1, 71, 50, 10, 22, 1, 4
2022/9/2, 89, 60, 27, 29, 2, 5
2022/9/3, 100, 39, 36, 22, 2, 4
2022/9/4, 54, 44, 53, 21, 2, 4
